price,bedrooms,bathrooms,sqft_living,sqft_lot,floors
374950,4,2.75,2730,4683,2
975000,4,2.5,2720,11049,2
370000,4,2.5,2720,8666,2
619000,3,2.5,2720,6439,2
465000,3,2.5,2714,17936,2
370000,4,2.5,2710,5880,2
660000,3,2.5,2680,28243,2
320000,3,2.5,2680,7757,2
807100,4,2.5,2680,4499,2
550000,4,3,2670,5000,2
379000,3,3.25,2660,17852,2.5
452000,6,2.25,2660,13579,2
730000,6,2.25,2660,13579,2
305000,5,2.25,2660,8400,1.5
365000,3,2.5,2653,4510,2
446500,3,2.5,2650,7286,2
429900,4,2.5,2640,8625,2
655000,4,2.5,2630,4000,3
605000,4,2.5,2620,7553,2
648000,4,2.5,2620,5450,2
659000,4,2.25,2610,24931,2
480000,4,2.5,2600,7787,2
581000,3,2.5,2600,4438,2
775000,4,2.25,4220,24186,1
673000,4,2.25,2590,8190,2
799000,4,3,2580,209523,2
552250,4,2.5,2580,5823,2
917500,4,2.5,3880,35003,2
348000,3,2.25,2570,8491,2
719000,4,2.5,2570,7173,2
625000,4,2.5,2570,5520,2
800000,4,2.5,2570,50308,1.5
485000,4,1.75,2560,43995,2
839900,4,3.5,3810,13592,1
650000,5,2.75,2550,5040,1.5
695000,3,2.75,2540,4694,2
480000,4,2.5,3230,16171,2
505000,3,1.75,2519,8690,2
799000,4,2.25,2510,11585,2
650000,5,3.5,3960,25245,2
662000,3,1.75,2500,36947,1
940000,4,2,2490,9525,2
910000,3,3.5,2480,3200,2
332000,4,2.5,2470,7780,2
359900,4,2.25,2470,7698,2
693000,4,2.5,2460,4425,2
784000,3,3.5,3950,111078,1.5
329000,3,2.25,2450,6500,2
525000,4,2.5,2450,5280,2
565000,4,2.5,2440,22594,2
589000,4,3,2440,9600,2
335000,3,2.5,2440,7632,2
677900,3,2.5,2440,4587,2
369950,3,1,2430,10720,1
430000,2,2.5,2420,60984,2
684000,4,3.5,3040,8414,2
301000,3,2.5,2420,4750,2
399950,4,2,2420,31465,1
590000,4,3.5,3100,15842,2
327000,5,2.75,2400,8050,2
750000,3,2.5,2400,7745,2
856600,4,2.25,2400,13430,1
832500,4,4,3430,35102,2
359500,4,2.25,2390,11250,2
339000,4,1.5,2390,7480,1.5
905000,4,2.5,3300,10250,1
669950,5,2.5,2820,14062,2
782000,4,2.5,2380,9614,2
360000,4,2.5,2380,5000,2
699800,2,2.5,2380,6600,1
890000,4,1,2550,4000,2
405000,3,2.5,3170,12750,2
752500,4,2.25,2360,8616,2
430000,3,2.5,2360,6699,2
640000,4,2,2360,6000,2
390000,3,2.5,2350,5100,2
472000,6,2.5,4410,14034,1
905000,4,3.5,2970,14486,2
390000,4,2.5,2340,8548,2
404950,4,2.25,2340,217014,1
527000,4,2.25,2330,19436,2
437500,3,2.5,2320,36847,2
530000,4,2.5,2320,5493,2
580500,3,2.5,2320,3980,2
597750,4,2.5,2310,9624,2
330000,3,2.25,2300,35287,2
785000,4,2.5,2290,13416,2
328500,4,3,2290,8250,2
450000,3,2,2290,16258,1
380000,3,2.5,2280,10255,2
500000,4,2.75,2280,15347,1
580000,4,3,3280,11060,2
855000,4,2.75,2270,10460,2
285000,5,2.5,2270,6300,2
318888,4,1.75,2320,12000,1
496500,3,2.5,2260,3640,2
538000,3,2.5,2250,11632,2
445838,3,2.5,2250,5692,2
292500,4,2.5,2250,4495,2
571000,4,2,2750,7807,1.5
279000,6,1.75,2240,11180,2
980000,4,2.25,2240,11034,2
287000,4,2.5,2240,4648,2
592500,4,2.5,2240,12032,1
625000,4,2.25,2220,36085,2
665000,4,2.75,3320,10574,2
360000,4,2.5,2210,17715,2
639000,4,2.5,2210,9875,2
455000,4,2.5,2210,49375,1
650000,4,2,2208,5000,3
365000,3,2.5,2200,4052,2
699950,3,2.25,2190,107593,2
310000,5,1.75,2190,27260,1
628000,3,1.75,4000,11894,1
610750,4,2.25,2180,7297,2
538000,3,2.25,2570,7242,2
449950,3,2.5,2170,4912,2
360000,4,2.5,2160,9528,2
347500,4,2.5,2156,3562,2
465000,3,2.5,2150,4084,2
419000,4,1.5,2150,23568,1
360000,4,1.75,3730,16980,1
675000,4,3.5,2140,2278,3
835000,4,2.75,3130,13412,2
799000,3,2.5,2140,9897,1
389000,4,2.25,2130,5337,2
920000,5,2.25,2730,6000,1.5
650000,3,2.5,2690,11575,1
375000,3,2.25,2120,18500,2
403950,4,2.5,2120,13780,2
437500,3,2.5,2120,4500,2
290000,5,1.5,2120,7700,1.5
530000,3,2.25,2120,40518,1
550000,3,2,2380,17950,2
370000,3,2.25,2110,13300,2
470000,3,2.5,2100,4700,2
740000,3,2,2100,72745,1
323000,3,1.75,2100,14850,1
469000,4,2.75,3550,13938,1
403000,3,2.75,2090,8354,2
460000,4,2,2090,40419,1
196000,3,2.25,2070,11576,2
365000,4,2.25,2070,8893,2
430000,4,2.5,2070,4310,2
560000,3,2.25,2060,31400,2
439000,4,2.25,2060,10070,2
640000,4,1.75,2060,9828,1
331500,4,2.5,2050,10271,2
280000,4,2.5,2050,7416,2
740000,4,2,2050,4400,1.5
314500,3,2,2050,13303,1
208633,3,2.5,2040,3810,2
520000,3,2.25,2030,16200,2
470000,5,1.75,2030,12342,2
310950,4,2.5,2030,4997,2
942500,5,3.5,3750,9612,1
720000,3,2.5,2020,1159,3
328000,3,2.25,2020,8379,2
595000,4,2,2020,2849,2
565000,4,3,2020,4300,1.5
250000,4,2,2010,7312,1
456500,4,3.5,2000,2309,3
577500,3,2.5,2000,7251,2
715000,4,1,2000,4800,2
243500,4,2.5,1980,7403,2
461000,3,3.25,2770,6278,2
679900,3,2.5,2440,5750,2
650000,4,3,2950,5000,2
490000,3,2.75,1980,3128,2
700000,4,1,1980,4560,1.5
834000,4,2.5,2370,4000,1.5
595000,5,2.75,3740,6750,1
346900,4,2.5,1970,5106,2
748000,4,3.5,2770,3330,2
308000,4,2.25,1960,12243,2
260000,4,2.5,1960,5238,2
640000,3,2.5,2160,4000,1.5
247500,3,1.75,1960,15681,1
328500,3,2.5,1950,8130,2
290000,3,1.5,1950,15954,1
361000,3,2,1950,8698,1
297000,3,2.5,1940,14952,2
480000,3,2.5,1940,10035,2
465250,5,2,1940,7642,1.5
365000,4,2,1940,25600,1
364950,4,2.5,1930,6957,2
533600,3,2.5,1930,5080,2
390000,3,2.5,1930,64904,1
342000,3,2,1930,11947,1
218000,5,1.75,1930,8040,1
260000,3,2.5,1920,7415,2
324000,3,2.5,1920,5322,2
340500,3,2,2270,28025,1
400000,3,1.75,1920,9102,1
440000,3,2.5,1910,66211,2
300000,4,2.5,1910,4862,2
785000,4,2.75,2440,69415,1
560000,3,2.5,1900,8744,2
360000,4,2.5,1900,5889,2
535800,4,2.5,1900,5790,2
940000,3,1.5,2140,3600,2
270000,4,2.25,1900,8600,1
389999,4,2.5,1890,15770,2
395000,3,2,1890,14040,2
880000,4,3.5,2800,6750,2
323000,3,2.5,1890,6560,2
520000,4,2.25,1890,3006,2
485000,3,2.5,1880,5502,2
811000,3,1.75,1870,9897,1
291000,4,2.5,1860,6325,2
355000,3,2.25,1860,5028,2
662500,3,2.5,3560,9796,1
559900,3,2.75,2930,5569,1
430000,4,3,1850,9976,2
325000,4,2.5,1850,7324,2
467000,5,2.25,2500,13500,1
289000,3,2,1850,9550,1
465000,3,2,1840,40438,2
360000,4,2.5,1840,9611,2
730000,4,2.25,2190,9009,2
435000,3,2.5,1840,5680,2
915000,5,2.5,2750,5589,1.5
338900,4,2.5,1830,5612,2
329500,4,2.5,1820,7912,2
322500,4,2.5,1820,6753,2
265000,3,1.75,1820,32666,1
264000,3,1.5,1820,10608,1
342500,3,2.5,1810,5192,2
530000,5,2,1810,4850,1.5
295000,3,2,1810,10530,1
266000,3,2.5,1805,3402,2
408200,3,2.5,1800,5761,2
865000,4,1.75,1800,4180,2
450000,4,2.75,2980,13260,1
225000,4,2.25,1800,9350,1
451000,3,1.75,1790,9813,2
370500,4,2.5,1790,6120,2
350000,3,2.25,1780,16290,2
296000,4,2.5,1780,3600,2
700000,5,3.25,2400,3118,2
325000,3,2.25,2220,16020,1
980000,5,2.5,3160,11470,1
590000,4,2.75,2910,10650,1
438000,3,1.75,1780,9660,1
630000,4,1.75,2950,9025,1
315000,6,2.75,2940,7350,1
705000,3,3,1970,20978,2
636000,3,2.5,2140,2770,2
317625,3,2.75,2770,3809,1.5
578000,4,2.5,3140,9225,1
420000,2,2.75,1760,4139,2
442000,5,3,2560,5445,1.5
320000,4,1.75,1760,11180,1
437000,3,2.5,1750,22357,2
324000,3,2.5,1750,7208,2
413000,4,3.5,2380,5809,2
420000,3,1.5,2390,4600,2
937000,3,1.75,2450,2691,2
420000,4,1,1750,9600,1.5
450000,4,1.75,2390,23899,1
330000,3,3,2420,13959,1
245000,3,1.75,1740,11547,1
718000,5,3,3070,9804,1
710000,4,2,1740,9000,1
245000,3,2.5,1730,7442,2
269950,3,2.5,1890,4838,2
480000,4,2,2180,10575,1
265000,3,2.5,1720,6271,2
477000,4,2.75,1720,6270,2
822500,5,3.5,2320,4960,2
891000,4,2,2330,5000,1.5
445000,4,1.75,2100,4400,1.5
487000,3,2,2590,14052,1
257500,3,2.25,1715,6819,2
725000,4,2,2110,4140,2
524250,3,2.5,1710,3469,2
431650,5,2.5,1710,7700,1.5
233000,3,2,1710,4697,1.5
691100,3,2.75,2360,16117,1
290000,4,2.5,1700,7280,2
210000,3,1,1700,11390,1
256883,3,2.5,1690,5025,2
500000,3,2.25,1690,4964,2
235000,4,1.5,1690,11054,1
347000,3,2.5,1680,4308,2
545000,3,1.75,1680,6200,1.5
470000,4,3,2380,5125,1.5
356000,3,1.5,1680,8712,1
510000,3,2,1680,8080,1
370000,3,2,1680,5036,1
289950,3,2.5,1670,6186,2
260000,3,2.5,1670,5797,2
484950,3,2.25,1670,5004,2
410000,4,1,1970,4740,1.5
469500,5,2.5,2970,24759,1
280000,3,1.5,1670,11610,1
227950,3,1.5,1670,8230,1
272000,3,1.75,2160,7140,1
507000,2,1.75,1670,6460,1
559950,3,2.5,1660,1458,3
342000,3,1.75,1660,16275,2
201000,5,1.75,1660,78408,1.5
585000,4,2.5,2160,8158,1
314950,3,2.25,1654,8479,2
463000,3,2.5,1640,29970,2
475000,3,2.5,1640,5097,2
416000,3,2,2220,94300,1
352000,3,2.25,1640,11050,1
795000,5,2.5,3040,9570,1
345000,5,2.5,3150,9134,1
422120,3,2.5,1630,4534,2
664000,4,2.75,2510,11880,1
840000,4,1.75,2480,11010,1
428750,3,1,1620,30736,1.5
475000,3,1.5,2480,5280,1.5
445000,3,2.25,2100,8201,1
320000,4,2.75,2640,7500,1
290900,2,2,1610,17600,2
358000,3,2.25,1610,6655,2
290000,3,2.5,1610,2937,2
215000,2,2.25,1610,2040,2
535000,4,1,1610,2982,1.5
563500,4,1.75,2085,174240,1
700000,5,2.5,2830,25958,1
299000,3,2.75,3080,19635,1
304900,4,1.75,2600,11325,1
653000,3,2.5,2680,9750,1
405300,3,2.75,2390,7939,1
330000,3,2.5,1600,26977,2
464000,6,3,2300,3404,2
485000,4,1,1600,4300,1.5
615000,4,2.25,2500,10062,1
625000,3,1.75,1600,9135,1
426700,3,1.75,2080,7700,1
518500,3,3.5,1590,1102,3
199950,2,2.75,1590,20917,1.5
365000,4,1,1590,7085,1.5
650000,3,2.25,2150,21235,1
790000,3,2.25,2370,10289,1
308000,3,1,1980,39150,1.5
350000,3,2.25,1580,47916,1
560000,4,2.25,2550,7800,1
585000,4,1.75,2430,7559,1
685000,3,1,1570,2280,2
171800,4,2,1570,9600,1
452000,4,1.75,1570,8268,1
278500,3,2,1570,5250,1
280000,4,2.5,1560,4350,2
284000,3,1.75,1560,21000,1
315000,4,2.75,2300,18360,1
283000,4,2.75,2130,8560,1
660000,3,2.5,2400,6474,1
268000,3,2.5,1550,8134,2
320000,4,2.25,1550,7579,2
385200,4,1,1550,7740,1.5
345000,4,1,1550,7620,1.5
521000,4,1.75,2020,36400,1
496500,4,2.5,2250,14440,1
527700,5,2.5,2820,9375,1
350000,5,3,2520,5500,1
549000,3,1.75,1540,1044,3
315000,3,2.25,1540,17424,2
578000,3,1.75,2120,10875,1
729500,3,2.5,1660,1091,3
269900,4,1.75,1530,8750,1.5
730000,2,2.25,2130,4920,1.5
664000,4,2,1530,4080,1.5
671500,5,2.75,2160,4000,1.5
570000,3,1.75,2910,37461,1
147500,3,1,1530,8498,1
440000,3,1.75,1530,7245,1
425000,3,1,1520,213444,1.5
210000,4,2,1520,6174,1.5
515000,5,3,2530,5105,1
415000,3,2.25,1510,36224,2
230000,3,2,1510,3413,2
687500,4,1.75,2330,5000,1.5
791500,4,2,1510,3500,1.5
825000,3,1.75,2010,3090,1.5
696000,3,2.5,2300,3060,1.5
330000,3,1.75,1510,15744,1
240000,3,1.75,1510,10248,1
479950,2,2,1510,6516,1
457500,3,2.5,1500,4445,2
399000,4,1,1500,6388,1.5
396000,3,1,1500,12616,1
530000,5,2.25,2720,8800,1
545000,5,2.5,2520,7863,1
550000,5,2.75,2160,5720,1
525000,3,2.25,1490,9414,2
237000,3,2.5,1490,2138,2
325000,3,1,1490,57381,1.5
570000,4,3,1490,6766,1.5
253000,3,2,1490,7651,1
310000,3,1.75,1490,7150,1
516500,3,2.5,1480,4729,2
465000,3,1.75,1480,6360,1
337000,3,2.5,1470,3976,2
760000,4,2.5,2430,6099,1
780000,3,1,1660,4400,1.5
550000,4,1.75,2480,14782,1
795000,3,2,2920,13650,1
375000,3,2.5,2340,10005,1
295000,4,2.5,2160,7725,1
297000,3,2.25,1450,7562,2
435500,3,2.25,1450,4789,2
243000,3,1.75,1450,12125,1
800000,3,2.25,2380,11824,1
230000,3,2,1450,11204,1
675000,5,2.25,2900,10300,1
391500,3,2,1450,9132,1
254000,3,2,2070,9000,1
555000,3,2,1980,3478,1.5
749000,4,2.5,1710,9627,1
660500,4,2.25,2010,9603,1
520000,3,2.25,2590,9263,1
250000,3,2,1440,9220,1
582800,4,2.75,2550,7636,1
210000,3,2,1440,7210,1
460000,3,1.75,1440,7070,1
210000,2,1.75,1440,5680,1
185000,3,1.75,1430,10816,2
280000,3,2.25,1430,7222,2
930000,4,2.5,2200,4000,2
310000,3,1,1430,19901,1.5
455000,2,1,1430,5000,1.5
373000,3,1.75,1830,11788,1
585188,3,2.25,2230,10026,1
246500,3,2,1430,8919,1
225000,3,1.75,1430,8505,1
275000,3,2.25,1420,8549,2
592500,2,2,1420,9191,1.5
400000,4,1,1420,4875,1.5
390000,4,3,2570,262018,1
272500,3,2.5,2070,9900,1
234000,3,1.75,1420,8738,1
265000,3,1.75,1420,8250,1
400000,3,2.5,2180,7508,1
435000,5,1,1410,6750,1.5
460000,4,3,2230,108900,1
390000,3,2,1910,11576,1
365500,3,2,1410,9600,1
255000,3,1.75,1410,9315,1
205000,3,2,1410,8384,1
245000,3,2,1410,5760,1
372500,2,2.5,1400,2958,2
238000,4,1,1400,7242,1.5
667000,3,1,1400,1581,1.5
330000,3,2,1400,218252,1
232000,3,1,1400,10403,1
233000,3,2,1400,9177,1
522000,3,1.75,1730,8400,1
550000,4,2.75,1800,7750,1
453246,3,2.5,2010,2287,2
206600,3,2,1390,13464,1
990000,4,2.5,2780,10480,1
280000,3,2.25,1900,7800,1
180000,3,1,1384,8960,1
597500,3,2,2150,5400,1.5
795000,2,1,1380,5000,1.5
270000,2,1.5,1380,209959,1
249900,3,1.75,1380,14000,1
385000,4,1.5,2040,10726,1
500000,4,2.25,2030,8517,1
400000,3,1.75,1370,9680,1
638700,3,1.75,2080,9162,1
371500,3,2,1370,8336,1
501000,3,1.75,1970,7972,1
338000,4,3,2090,7500,1
245000,3,1.5,1360,8910,2
720000,3,1.75,2040,4000,2
532170,3,2,1360,3090,2
200000,2,1.5,1360,1898,2
565000,3,2.75,2390,9966,1
260000,4,2.25,2160,8811,1
249000,3,2,1360,6082,1
385000,3,1.75,1350,155073,1
279950,3,2,1750,9750,1
497000,3,2.25,1870,9315,1
345500,3,1,1350,8581,1
305000,4,2.25,1950,7700,1
419950,2,1.75,1350,4003,1
430000,2,1.75,1350,4003,1
313000,3,1.5,1340,7912,1.5
650000,3,2,1340,2720,1.5
662500,6,2.25,2450,25600,1
452000,4,2.25,2590,10002,1
305000,4,2.5,2250,9091,1
255000,3,1.5,1340,8450,1
604950,3,2.5,2110,5608,1
650000,3,3.25,1510,2000,2
290000,4,1,1330,8184,1.5
249950,4,1,1330,7980,1.5
685000,3,2,2060,2900,1.5
615000,4,1,1330,2400,1.5
900000,3,1,1330,77972,1
374000,3,1.5,1330,10640,1
404000,3,1.5,2030,8880,1
240000,2,1.75,1330,7200,1
601000,3,1.75,1330,6743,1
577000,3,2.5,2060,5750,1
525000,3,2.25,2100,40510,2
300000,3,2.5,1320,2614,2
199000,3,1.75,1320,17390,1
467000,2,1.5,1320,10800,1
196500,3,1,1320,9000,1
265000,3,2,1320,8959,1
215000,2,1,1320,8865,1
270500,3,2.5,1780,7848,1
269950,3,1.5,1950,7560,1
399950,5,2.75,1970,5400,1
381156,2,1,1320,3090,1
535000,3,2.5,1360,1016,3
253000,3,2.5,2020,6564,1
175000,4,1,1300,6030,1.5
435000,3,1.5,1300,3348,1.5
315000,3,1,1900,14400,1
232000,3,1.75,1300,11230,1
267000,3,2,1300,9644,1
331000,3,1.75,1300,9079,1
225000,3,1,1300,8316,1
396000,3,1.5,1300,8280,1
335000,3,1.75,1570,7500,1
475000,5,2.5,2340,7200,1
425000,3,1.75,2500,6840,1
223000,3,2,1670,6824,1
236000,3,1,1300,5898,1
650000,4,1.75,2010,5070,1
450000,3,2,1290,1213,3
557000,3,3.5,1710,2096,2
299900,3,2.25,1560,35026,1
323000,3,1,1290,12231,1
824000,4,2.25,2490,9864,1
423000,4,2.25,2200,9351,1
285000,4,1.75,2510,7440,1
430000,3,1.5,1580,5000,1
700000,3,1.5,1580,5000,1
242000,3,1.75,1280,7524,1.5
425000,3,2.25,1820,8814,1
216000,3,1,1280,8712,1
322500,4,2.75,2060,6659,1
500000,2,1,1280,5400,1
309600,4,1.75,1275,20000,1
438000,2,2,1270,1372,3
550000,3,2,1970,4166,2
850830,3,2.5,2070,13241,1.5
247000,3,2,1270,7198,1.5
237000,3,1.75,1270,8470,1
588000,3,1,1910,8167,1
570000,3,3.25,1570,1777,2
425000,4,1,1260,7645,1.5
378750,3,2.5,2160,3000,1.5
465750,3,1.5,1260,10350,1
291500,3,1.75,1260,9600,1
289000,3,1.75,1260,8400,1
605000,3,1.75,1920,7400,1
325000,3,2,1260,5612,1
505000,3,2,1260,5460,1
312000,3,1.5,1255,1374,3
530000,3,1.75,1250,6041,1.5
350000,3,1.5,1250,219978,1
305000,3,1,1250,23680,1
288349,3,1,1250,18616,1
175000,3,1,1250,9775,1
230000,3,1,1250,9774,1
888000,3,1.5,1250,8710,1
282950,3,1,1250,8200,1
387000,4,1.75,2500,7690,1
390000,3,2.25,1250,7500,1
345000,3,1,1250,7210,1
440000,3,1.75,1560,7207,1
450000,3,1.75,1250,5963,1
517500,3,1.5,1430,5200,1
727500,2,2,1240,9119,1
255000,3,1.75,1240,8659,1
260000,3,2,1810,7209,1
405000,3,1.75,2390,6000,1
188500,2,1.75,1240,2493,1
655000,2,1.75,1450,15798,2
324500,3,1.75,1920,11340,1
255000,3,1,1230,10170,1
539900,3,1.75,1650,10150,1
260000,4,1.75,1810,7480,1
447000,3,1,1370,6001,1
642450,3,1.75,1830,4160,1
650000,3,2,1870,3388,1
306000,3,1.5,1220,1086,3
300000,2,1,1220,75794,1
330000,2,1,1220,10000,1
333500,3,1.75,1220,9732,1
305000,3,1.75,1650,9480,1
469950,3,2.25,1620,8701,1
387500,3,1,1220,8329,1
289999,5,2.5,2180,8240,1
288400,4,2.5,1860,6687,1
385000,3,1,1220,4800,1
532500,3,1.75,1330,5000,2
529000,3,1,1210,3328,1.5
314000,3,1.75,1810,41800,1
290000,3,1,1210,33919,1
200000,3,1.5,1210,10588,1
385000,3,1.75,1800,18000,1
315000,3,1.75,1580,11455,1
390000,3,1,1200,10800,1
153000,3,1,1200,10500,1
189000,2,1,1200,9850,1
214000,3,1,1200,8316,1
397000,4,2,1440,7680,1
478500,3,1,2090,4755,1
280000,2,1.5,1190,1265,3
625000,2,1.5,1490,5750,1.5
645000,4,2,2780,11583,1
228000,3,1,1190,9199,1
166950,3,1,1190,8820,1
378000,4,1.5,2140,7920,1
288000,3,1,1190,7560,1
382500,2,1,1190,4440,1
438000,3,2.5,1520,1304,2
260000,3,1,1180,5350,1.5
610000,3,1,1180,3400,1.5
215000,3,1,1180,7669,1
385000,4,1.75,2360,7620,1
370000,3,1.75,1580,7000,1
221900,3,1,1180,5650,1
519950,3,2.25,1170,1249,3
460000,3,1,1670,4005,1.5
548000,2,1,1470,3864,1
272500,3,1.75,1540,12600,1
305000,3,1,1160,9750,1
252350,3,2,1650,7352,1
441000,3,2.75,1910,7280,1
199000,4,1.5,1160,6400,1
310000,3,1.5,1150,3323,2
460500,3,1,1490,10650,1
166600,3,1.75,1150,8690,1
185000,3,1,1150,8100,1
240000,3,1.75,1760,6500,1
466000,2,1.5,1140,1058,3
269900,3,1.75,1140,22267,1
500000,2,1,1640,14100,1
705000,3,1.75,2180,10221,1
232500,3,1.5,1940,9887,1
405000,3,1.75,1670,6720,1
950000,3,1.75,2150,4200,1
423000,4,2,1970,6480,1.5
258000,5,2,2260,12500,1
320000,3,1.5,1650,9380,1
328000,3,1.75,1470,7650,1
215000,4,1,1130,7400,1
341500,3,1.5,1130,7223,1
287500,3,1,1810,7200,1
431000,3,1,1810,7200,1
645000,3,1.75,2070,5500,1
250000,2,2,1130,5500,1
260000,3,1,1480,7469,1.5
188000,2,1.5,1120,17487,1
285000,3,1,1120,10701,1
264950,4,2.25,1720,9753,1
315000,3,2.25,2200,8750,1
325000,3,1,1920,6862,1
531000,2,3,1270,1175,2
560000,3,1,1110,5000,1.5
450000,3,1.75,1640,13500,1
425000,3,2.25,1660,6000,1
595000,3,1.75,1910,5753,1
665000,2,1,1110,3200,1
340000,2,2.5,1100,1760,3
450000,2,2,1100,3000,1.5
260000,3,1.75,1100,10968,1
315000,4,2.25,2180,10754,1
530000,4,2.25,2180,10754,1
405000,5,1.75,1550,10500,1
269000,4,1.75,1490,10000,1
268000,4,1.75,1680,9966,1
300000,2,1,1100,7680,1
375000,4,1.75,2200,7475,1
485000,4,2,1400,3600,1
535000,3,1,1090,3000,1.5
349000,3,1.75,1790,50529,1
267500,3,1.75,1590,11914,1
429950,4,1,1760,7216,1
340000,2,1,1090,6771,1
460000,3,2.5,1610,2527,2
359000,2,2.75,1370,1140,2
512000,3,1.75,1610,12555,1
268500,4,1.75,1420,7500,1
300000,3,2,1480,6698,1
329950,3,1.75,2080,5969,1
320000,2,1,1070,32633,1
316500,3,1.75,1600,14250,1
252700,2,1.5,1070,9643,1
265000,3,1,1070,9000,1
415000,3,1.75,1070,8000,1
397500,3,2,1510,6710,1
435000,4,1.5,1510,6460,1
641000,2,1,1420,5332,1
640000,2,1,1070,5000,1
415000,2,1,1070,4500,1
625504,3,2.25,1270,1566,2
230000,3,1,1060,10228,1
291850,3,1.5,1060,9711,1
330000,2,1,1350,8220,1
212000,3,1.75,1060,7875,1
275000,3,3,1590,7750,1
299995,2,1,1060,7200,1
325000,2,1,1060,5703,1
493000,4,2,1910,2874,1
163500,2,1.5,1050,3419,2
320000,3,1.5,1240,1221,2
400000,3,2.25,1190,1149,2
252000,4,1.5,1550,19800,1
287653,3,1,1050,16050,1
237500,3,1.75,1050,7854,1
229500,3,1,1780,7470,1
384000,4,1.75,2100,7135,1
245000,2,1,1050,5900,1
604000,4,3,1960,5000,1
263500,3,1.75,1330,9917,1
436000,2,1,1040,7538,1
204000,3,1,1040,7405,1
480000,3,1,1040,5060,1
255000,5,2.25,2060,8632,1
245000,3,2.5,1530,8500,1
427200,3,1,1030,8400,1
442000,3,1,1190,5100,1
189950,2,1,1030,4188,1
209000,3,2,1230,1340,2
229000,3,1,1020,8100,1
459000,2,1.75,1170,4887,1
550700,2,1,1010,5000,1.5
505000,3,1.5,1830,217800,1
420000,3,2,2020,38332,1
160000,3,1.5,1010,9600,1
205000,3,1,1610,8579,1
405500,3,1.5,1010,8108,1
220000,4,1.75,2020,7840,1
385000,3,2,1010,7380,1
250000,4,1.75,1710,7140,1
355000,2,1,2020,6720,1
425000,3,1,1010,5864,1
470000,3,1,1010,5000,1
595000,2,2,1510,4000,1
280000,2,1,1010,3000,1
451000,3,1.75,1560,4049,1.5
204000,3,1,1000,12070,1
270000,2,1,1000,10320,1
213000,2,1,1000,10200,1
420000,3,2.25,2000,8030,1
186375,3,1,1000,7636,1
165000,4,1,1000,7134,1
239900,4,1,1000,7134,1
220000,3,1,1000,6020,1
600000,3,1.75,1410,4080,1
240500,3,1.75,1460,10584,1
585000,2,1.75,1980,8550,1
210490,3,1,990,8528,1
325000,3,1,990,6750,1
495000,3,1,990,6000,1
543500,3,2.25,1270,2790,1
235000,3,1,1430,15246,1
330000,3,1,980,7000,1
511000,3,1,1430,3455,1
400000,3,1.75,1590,8219,1.5
576000,3,2.5,1940,9000,1
222000,3,2,1440,7187,1
